Time,Name,Azimuth (°),Elevation (°),Slant km,x_East (m),y_North (m),z_Up (m)
2025-07-31 20:23:15,STARLINK-32500,102.15,55.4,579.5,321692.3,-69274.2,477047.1
2025-07-31 20:23:15,STARLINK-11710 [DTC],159.64,33.88,582.1,168135.8,-453068.1,324528.3
2025-07-31 20:23:15,STARLINK-31226,351.67,52.49,600.1,-52966.0,361530.1,476092.8
2025-07-31 20:23:15,STARLINK-31571,17.93,52.05,603.1,114198.0,352904.9,475568.9
2025-07-31 20:23:15,STARLINK-32472,106.33,50.77,611.8,371301.9,-108804.9,473910.0
2025-07-31 20:23:15,STARLINK-2147,211.5,62.34,612.1,-148503.5,-242291.7,542122.2
2025-07-31 20:23:15,STARLINK-30496,70.57,63.83,618.9,257403.3,90783.6,555470.8
2025-07-31 20:23:15,STARLINK-32581,42.09,65.12,631.1,177933.1,196987.1,572511.1
2025-07-31 20:23:15,STARLINK-33546,167.03,47.11,641.8,98055.4,-425607.8,470253.1
2025-07-31 20:23:15,STARLINK-5586,336.14,58.92,646.1,-134905.1,305050.0,553290.4
2025-07-31 20:23:15,STARLINK-33734,301.91,45.13,651.0,-389856.9,242765.0,461372.9
2025-07-31 20:23:15,STARLINK-31455,288.86,45.45,659.1,-437565.2,149447.4,469745.2
2025-07-31 20:23:15,STARLINK-4269,63.61,52.8,664.9,360090.4,178696.1,529664.3
2025-07-31 20:23:15,STARLINK-1470,8.38,50.49,671.0,62207.2,422331.4,517743.3
2025-07-31 20:23:15,STARLINK-11353 [DTC],54.38,30.07,671.0,472025.2,338248.4,336222.2
2025-07-31 20:23:15,STARLINK-32647,281.55,42.85,685.5,-492413.4,100640.6,466193.3
2025-07-31 20:23:15,STARLINK-30102,194.71,52.34,691.2,-107239.3,-408433.5,547164.8
2025-07-31 20:23:15,STARLINK-30842,126.99,52.27,692.0,338273.2,-254820.3,547279.4
2025-07-31 20:23:15,STARLINK-5664,301.14,50.34,709.5,-387565.5,234162.9,546233.9
2025-07-31 20:23:15,STARLINK-5676,255.6,49.98,712.0,-443405.5,-113829.1,545272.9
2025-07-31 20:23:15,STARLINK-30474,44.97,49.04,721.9,334431.2,334751.8,545188.6
2025-07-31 20:23:15,STARLINK-2498,328.75,45.53,742.2,-269738.9,444458.6,529687.7
2025-07-31 20:23:15,STARLINK-3665,218.39,44.45,742.7,-329218.8,-415544.5,520067.8
2025-07-31 20:23:15,STARLINK-30190,55.14,39.37,745.4,472840.0,329340.7,472882.1
2025-07-31 20:23:15,STARLINK-3044,152.76,42.77,762.2,256092.5,-497435.0,517565.8
2025-07-31 20:23:15,STARLINK-4190,288.38,42.81,763.2,-531307.1,176515.0,518666.4
2025-07-31 20:23:15,STARLINK-32076,40.48,35.52,772.2,408038.4,478048.7,448561.7
2025-07-31 20:23:15,STARLINK-32433,78.47,36.0,776.2,615241.5,125508.5,456238.3
2025-07-31 20:23:15,STARLINK-32533,301.91,35.14,777.9,-540025.0,336278.4,447692.4
2025-07-31 20:23:15,STARLINK-5658,51.19,42.08,799.9,462566.4,372049.9,536087.3
2025-07-31 20:23:15,STARLINK-3550,348.25,39.33,810.4,-127620.9,613697.4,513647.5
2025-07-31 20:23:15,STARLINK-30439,71.2,40.83,816.1,584540.5,198997.7,533630.8
2025-07-31 20:23:15,STARLINK-32037,209.93,32.44,821.4,-345947.4,-600777.5,440606.2
2025-07-31 20:23:15,STARLINK-6163,107.22,39.11,840.1,622677.2,-192975.6,529881.3
2025-07-31 20:23:15,STARLINK-3778,57.91,37.11,843.4,569776.4,357330.0,508867.8
2025-07-31 20:23:15,STARLINK-3779,2.55,36.69,851.0,30352.0,681775.3,508430.9
2025-07-31 20:23:15,STARLINK-33691,293.33,30.8,868.8,-685292.0,295503.2,444858.9
2025-07-31 20:23:15,STARLINK-3098,95.08,35.31,872.0,708782.0,-62979.4,504069.1
2025-07-31 20:23:15,STARLINK-2536,164.85,35.56,877.5,186595.3,-689036.8,510331.0
2025-07-31 20:23:15,STARLINK-30186,211.26,35.16,903.3,-383260.7,-631263.9,520152.5
2025-07-31 20:23:15,STARLINK-6108,260.93,33.85,929.3,-762156.4,-121713.7,517563.9
2025-07-31 20:23:15,STARLINK-30036,288.2,32.89,949.1,-757047.5,248923.2,515417.4
2025-07-31 20:23:15,STARLINK-3838,236.67,30.33,969.2,-698923.7,-459608.2,489484.2
2025-07-31 20:23:15,STARLINK-4552,14.75,30.11,977.8,215325.4,817982.2,490456.2
